hour of day start,hour of day end,bar size,max bar size,percentage,notes
5,6,0.63,1.88,0.335106383,
6,7,0.97,1.88,0.5159574468,
7,8,1.24,1.88,0.6595744681,
8,9,1.34,1.88,0.7127659574,
9,10,1.35,1.88,0.7180851064,
10,11,1.46,1.88,0.7765957447,
11,12,1.57,1.88,0.835106383,
12,13,1.58,1.88,0.8404255319,
13,14,1.44,1.88,0.7659574468,
14,15,1.25,1.88,0.664893617,
15,16,1.18,1.88,0.6276595745,
16,17,1.16,1.88,0.6170212766,
17,18,1.12,1.88,0.5957446809,
18,19,1.13,1.88,0.6010638298,
19,20,1.24,1.88,0.6595744681,
20,21,1.36,1.88,0.7234042553,
21,22,1.45,1.88,0.7712765957,
22,23,1.34,1.88,0.7127659574,
23,24,1.07,1.88,0.5691489362,
0,1,0.64,1.88,0.3404255319,
1,2,0.37,1.88,0.1968085106,
2,3,0.33,1.88,0.1755319149,simulated cause not on website
3,4,0.39,1.88,0.2074468085,simulated cause not on website
4,5,0.55,1.88,0.2925531915,simulated cause not on website