hour of day start,hour of day end,bar size,max bar size,percentage
4,5,0.52,1.84,0.2826086957
5,6,0.78,1.84,0.4239130435
6,7,1.07,1.84,0.5815217391
7,8,1.27,1.84,0.6902173913
8,9,1.27,1.84,0.6902173913
9,10,1.18,1.84,0.6413043478
10,11,1.18,1.84,0.6413043478
11,12,1.09,1.84,0.5923913043
12,13,1.1,1.84,0.597826087
13,14,1.15,1.84,0.625
14,15,1.23,1.84,0.6684782609
15,16,1.32,1.84,0.7173913043
16,17,1.4,1.84,0.7608695652
17,18,1.41,1.84,0.7663043478
18,19,1.44,1.84,0.7826086957
19,20,1.48,1.84,0.8043478261
20,21,1.48,1.84,0.8043478261
21,22,1.48,1.84,0.8043478261
22,23,1.23,1.84,0.6684782609
23,24,0.98,1.84,0.5326086957
0,1,0.66,1.84,0.3586956522
1,2,0.42,1.84,0.2282608696
2,3,0.32,1.84,0.1739130435
3,4,0.36,1.84,0.1956521739